pair_ID	sentence_A	sentence_B	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_dataset	sentence_B_dataset	SemEval_set	binary_label
19	شخصی با یک کت مشکی در حال انجام حقه‌های موتورسواری است	یک مرد با یک کت مشکی در حال انجام حقه‌های موتورسواری است	4.9	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
20	هیچ مردی با یک کت سیاه حقه‌های موتورسواری انجام نمی‌دهد	شخصی با یک کت مشکی در حال انجام حقه‌های موتورسواری است	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
21	شخصی با یک کت مشکی در حال انجام حقه‌های موتورسواری است	شخصی با موتورسیکلت مشکی در حال انجام حقه‌هایی با یک کت مشکی است	3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
22	یک شخص ماهر یک موتور سیکلت را روی یک چرخ می‌راند	یک شخص دوچرخه را روی یک چرخ می‌راند	4.3	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
23	هیچکس دوچرخه را روی یک چرخ نمی‌راند	یک شخص دوچرخه را روی یک چرخ می‌راند	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
24	فردی با ژاکت سیاه روی موتور سیکلت در حال انجام حرکت نمایش است	یک فرد ماهر در حال دوچرخه سواری بر روی یک چرخ است	3.4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRIAL	1
25	هیچ کس دوچرخه را روی یک چرخ نمی‌راند	فردی با پیراهن مشکی حرکاتی با موتورسیکلت انجام می‌دهد	2.8	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
26	فردی موتورسیکلت را روی یک چرخ می‌راند	مردی با پیراهن مشکی حرکاتی با موتورسیکلت انجام می‌دهد	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
27	یک شخص دوچرخه را روی یک چرخ می‌راند	هیچ مردی با یک کت سیاه حقه‌های موتورسواری انجام نمی‌دهد	3.2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
28	فردی با پیراهن مشکی حرکاتی با موتورسیکلت انجام می‌دهد	فردی موتورسیکلت را روی یک چرخ می‌راند	3.4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
29	یک شخص دوچرخه را روی یک چرخ می‌راند	شخصی با یک کت مشکی در حال انجام حقه‌های موتورسواری است	3.3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
30	مردی با پیراهن ورزشی در بازی بسکتبال توپ را به سبد می‌اندازد	توپ به داخل سبد توسط مردی که لباس ورزشی پوشیده است انداخته می‌شود	4.9	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TRAIN	1
31	یک مرد با لباس ورزشی در حال انجام اسلم دانک در بازی بسکتبال می‌باشد	هیچ مردی حرکت اسلم دانک را در بازی بسکتبال انجام نمی‌دهد	4	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
32	بازی بسکتبال شامل یک توپ است که توسط یک مرد با پیراهن ورزشی اسلم دانک می‌شود	یک مرد با لباس ورزشی در حال انجام اسلم دانک در بازی بسکتبال می‌باشد	4.2	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
33	مردی که درحال بازی است  توپ را به دخل تور اسلم دانک می‌کند جمعیت در پشت زمینه دیده می‌شوند	بازیکن در حال اسلم دانک به داخل تور است و جمعیت در پشت زمینه دیده می‌شوند	4.7	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
34	بازیکن تور را از دست می‌دهد جمعیت در پشت زمینه دیده می‌شوند	بازیکن در حال اسلم دانک به داخل تور است و جمعیت در پشت زمینه دیده می‌شوند	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
35	مردی با پیراهن ورزشی در بازی بسکتبال توپ را به سبد می‌اندازد	مردی که در حال بازی بسکتبال می‌باشد ، توپ بسکتبال را به داخل سبد می‌اندازد و جمعیت زیادی در پس زمینه است	3.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
36	یک مرد با لباس ورزشی در حال انجام اسلم دانک در بازی بسکتبال می‌باشد	بازیکن تور را از دست می‌دهد جمعیت در پشت زمینه دیده می‌شوند	3.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
37	بازیکن در حال اسلم دانک به داخل تور است و جمعیت در پشت زمینه دیده می‌شوند	توپ توسط یک مرد با پیراهن ورزشی در یک بازی بسکتبال اسلم دانک می‌شود	4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
38	هیچ مردی در بازی بسکتبال توپ را اسلم دانک نمی‌کند	بازیکن در حال اسلم دانک به داخل تور است و جمعیت در پشت زمینه دیده می‌شوند	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
39	بازی بسکتبال شامل یک توپ است که توسط یک مرد با پیراهن ورزشی اسلم دانک می‌شود	بازیکن در حال اسلم دانک به داخل تور است و جمعیت در پشت زمینه دیده می‌شوند	3.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
40	بازیکن در حال دانک کردن توپ بسکتبال در تور است و جمعیت زیادی در پس زمینه هستند	مردی با لباس ورزشی در یک بازی بسکتبال در حال دانک کردن توپ است	3.8	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
41	دو نفر درحال کیک بوکسینگ هستند و تماشاگران هم تماشا می‌کنند	دو نفر در حال مبارزه هستند و تماشاگران هم تماشا می‌کنند	4.4	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
42	دو نفر در حال کیک بوکسینگ هستند و تماشاگران تماشا نمی کنند	دو نفر در حال کیک بوکسینگ هستند و تماشاگران تماشا می کنند	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TRAIN	1
43	دو تماشاچی در حال کیک بوکسینگ هستند و عده ای هم تماشا می‌کنند	دو نفر در حال کیک بوکسینگ هستند و تماشاگران هم تماشا می‌کنند	4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
44	دو زن جوان در حال مشاجره کردن در یک مبارزه کیک بوکسینگ هستند	دو زن در حال مشاجره کردن در یک مسابقه کیک بوکسینگ هستند	4.9	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TRAIN	1
45	دو زن جوان در حال مشاجره کردن در یک مبارزه کیک بوکسینگ نیستند	دو زن در حال مشاجره کردن در یک مسابقه کیک بوکسینگ هستند	3.9	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
46	دو نفر در حال کیک بوکسینگ هستند و تماشاگران هم تماشا می‌کنند	دو زن جوان در حاله مبارزه در کیک بوکسینگ هستند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
47	دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشا هستند	دو زن جوان در حال مشاجره کردن در یک مبارزه کیک بوکسینگ نیستند	3.415	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
48	دو زن جوان در حاله مبارزه در یک مسابقه کیک بوکسینگ هستند	دو نفر در حال مبارزه هستند و تماشاگران هم تماشا می‌کنند	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
49	دو زن در حال مشاجره کردن در یک مسابقه کیک بوکسینگ هستند	دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشا نیستند	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
50	دو تماشاچی در حال کیک بوکسینگ هستند و عده‌ای هم تماشا می‌کنند	دو زن جوان در حاله مبارزه در یک مسابقه کیک بوکسینگ هستند	3.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
51	دو نفر در حال کیک بوکسینگ هستند و تماشاگران هم تماشا می‌کنند	دو زن جوان در حاله مبارزه در یک مسابقه کیک بوکسینگ هستند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
52	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	4.9	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
53	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	کودکان با پیراهن قرمز در برگها می خوابند	4	NEUTRAL	A_neutral_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
54	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	کودکان پوشیده از برگ با پیراهن قرمز بازی می‌کنند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
55	سه پسر در حال پریدن روی برگ ها هستند	سه کودک در حال پریدن روی برگ ها هستند	4.4	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
56	سه کودک در حال نشستن روی برگ ها هستند	سه کودک در حال پریدن روی برگ ها هستند	3.8	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
57	سه پسر روی برگ‌ها می‌پرند	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	4.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
58	بچه ها با پیراهن قرمز در برگ بازی می کنند	سه کودک در برگها نشسته اند	3.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
59	کودکان با لباس قرمز در برگ‌ها بازی می‌کنند	سه کودک روی برگ‌ها می‌پرند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
60	کودکان با پیراهن قرمز در برگها می‌خوابند	سه کودک بر روی برگ‌ها می‌پرند	3.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
61	کودکان پوشیده از برگ با پیراهن قرمز بازی می‌کنند	سه کودک روی برگ‌ها می‌پرند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
62	بچه ها با پیراهن قرمز در برگ بازی می کنند	سه کودک در حال پریدن روی برگ ها هستند	4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
63	دو کودک روی برف‌ها دراز می‌کشند و فرشته ها را ترسیم می‌کنند	دو کودک روی برف‌ها دراز می‌کشند و فرشته های برفی درست می‌کنند	4.4	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
64	دو کودک روی برف‌ها دراز می‌کشند و فرشته های برفی درست می‌کنند	هیچ کودکی روی برف‌ها دراز نکشیده و فرشته‌های برفی درست نمی‌کند	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
65	دو فرشته در حال ساختن برف روی بچه هایی که دراز کشیدن هستند	دو بچه در برف دراز می کشند و فرشتگان برفی را می سازند	2.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
66	دونفر که لباس‌های زمستانی پوشیده‌اند روی زمین فرشته‌های برفی درست می‌کنند	دونفر با لباس‌های زمستانی روی برف دراز کشیده‌اند و فرشته‌های برفی درست می‌کنند	4.8	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
67	دونفر با لباس‌های زمستانی روی برف دراز کشیده‌اند و فرشته‌های برفی درست می‌کنند	هیچکس با لباس‌های زمستانی روی برف دراز نکشیده و فرشته‌های برفی درست نمی‌کند	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
68	دو کودک روی برف‌ها دراز می‌کشند و فرشته های برفی درست می‌کنند	دونفر که لباس‌های زمستانی پوشیده‌اند روی زمین فرشته‌های برفی درست می‌کنند	4.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
69	دو کودک روی برف‌ها دراز می‌کشند و فرشته های برفی درست می‌کنند	هیچکس با لباس‌های زمستانی روی برف دراز نکشیده و فرشته‌های برفی درست نمی‌کند	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TEST	1
70	دو بچه در برف دراز کشیده اند و درحال ترسیم فرشته ها هستند	دو نفر با لباس های مناسب برفی درحالی که در برف دراز کشیده اند و فرشته های برفی میسازند	4.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
71	هیچ کودکی روی برف دراز نکشیده و فرشته‌های برفی درست نمی‌کند	دونفر با لباس‌های زمستانی روی برف دراز کشیده‌اند و فرشته‌های برفی درست می‌کنند	3.3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
72	دو نفربا لباس های مناسب برفی درحالی که دراز کشیدن در برف و فرشته های برفی میسازند	دو فرشته در حال ساختن برف روی بچه هایی که دراز کشیدن هستند	2.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
73	دو بچه دراز کشیدن در برف و در حال ساختن فرشتگان برفی هستند	دو نفربا لباس های مناسب برفی دراز کشیدن در برف و فرشته های برفی میسازند	4.2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
74	یک دختر کوچک  به یک زن که لباس محلی به تن دارد نگاه می‌کند	یک دختر جوان به یک زن که لباس محلی به تن دارد نگاه می‌کند	4.7	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
75	یک دختر کوچک به یک زن که لباس محلی به تن دارد نگاه می‌کند	دختر کوچک به یک مرد با لباس محلی نگاه می‌کند	3.8	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TEST	1
76	یک دختر کوچک به یک زن که لباس محلی به تن دارد نگاه می‌کند	یک دختره کوچک با لباس محلی شبیه یک زن است	2.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
77	افرادی که لباس محلی می پوشند در یک جنگل جمع می شوند و در همان راستا به دنبال هم هستند	افراد نقاب دار در یک جنگل در همان راستا به دنبال هم هستند	4.4	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
78	افرادی که لباس محلی می پوشند در یک جنگل جمع می شوند و در همان راستا به دنبال هم هستند	افرادی که لباس محلی می پوشند در جنگل پراکنده می شوند و در جهات مختلفی به دنبال هم هستند	3.2	NEUTRAL	A_neutral_B	B_contradicts_A	FLICKR	FLICKR	TRAIN	1
79	مردم درحال نگاه کردن به لباس های محلی هستند که درمجاورت جنگل جمع شده است	افرادی که لباس محلی می پوشند در جنگل جمع می شوند و در همان راستا به دنبال هم هستند	3.635	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
80	اشخاص نقابدار یک جهت همسان را در جنگل جست و جو می‌کنند	دختر کوچک به یک زن با لباس محلی نگاه می‌کند	1.3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
81	یک دختر کوچک به خانمی با لباس محلی نگاه می کند	افرادی که لباس محلی می پوشند در جنگل پراکنده می شوند و در جهات مختلفی به دنبال هم هستند	2.4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
82	یک دختر کوچک به خانمی در لباس محلی نگاه می کند	مردم درحال نگاه کردن به لباس های محلی هستند که درمجاورت جنگل جمع شده است	2.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
83	یک دخترجوان به خانمی در لباس محلی نگاه می کند	افرادی که لباس محلی می پوشند در جنگل جمع می شوند و در همان راستا به دنبال هم هستند	2.2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
84	افرادی که لباس محلی می پوشند در جنگل جمع می شوند و در همان راستا به دنبال هم هستند	یک دختر کوچک به مردی در لباس محلی نگاه می کند	3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
85	افرادی که لباس محلی می پوشند در یک جنگل جمع می شوند و در همان راستا به دنبال هم هستند	یک دختر کوچک درلباس محلی شبیه یک زن به نظر می آید	2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
86	دختر کوچک به یک زن با لباس محلی نگاه می‌کند	مردمی که لباس محلی پوشیده‌اند در جنگل جمع می‌شوند و یک جهت همسان را جست‌وجو می‌کنند	2.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
87	یک دوچرخه سوار تنها در حال پریدن در هوا است	یک دوچرخه سوار به تنهایی در حال پریدن در هوا است	5	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TRAIN	1
88	هیچ دوچرخه سواری درحال پریدن درهوا وجود ندارد	یک دوچرخه سوار تنها در حال پریدن در هوا است	4.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TRAIN	1
89	یک مرد داخله یک استخر شنای خالی می‌پرد	یک مرد داخله یک استخر خالی می‌پرد	4.8	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
90	مردی در حال پریدن در یک استخر خالی است	مردی در حال پریدن در یک استخر پر است	3	CONTRADICTION	A_contradicts_B	B_contradicts_A	FLICKR	FLICKR	TRAIN	1
91	مردی در حال پریدن در یک استخر خالی است	بلیز مرد در استخر خالی است	3.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
92	یک موتور سواره تنها در حال پریدن در هوا است	یک مرد داخله یک استخر شنای خالی می‌پرد	1.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
93	یک دوچرخه سوار تنها در حال پریدن در هوا است	مردی در حال پریدن در یک استخر پر است	1.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
94	بلیز مرد در استخر خالی است	یک دوچرخه سوار تنها در حال پریدن در هوا است	1.4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
95	یک مرد داخله یک استخر خالی می‌پرد	یک موتور سوار به هوا میپرد به تنهایی	1.6	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
96	یک مرد داخله یک استخر خالی می‌پرد	هیچ موتورسواری در حال پرش در هوا نیست	1.2	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
97	یک دوچرخه سوار تنها در حال پریدن در هوا است	مردی در حال پریدن در یک استخر خالی است	1.5	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
98	چهار کودک درحال انجام حرکت آکروباتیک خم‌پشت در پارک هستند	چهار بچه درحال انجام حرکت آکروباتیک خم‌پشت در پارک هستند	4.8	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TRAIN	1
99	چهار بچه درحال انجام حرکت آکروباتیک خم‌پشت در باشگاه هستند	چهار بچه درحال انجام حرکت آکروباتیک خم‌پشت در پارک هستند	3.8	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
100	چهار دختر درحال انجام حرکت آکروباتیک خم‌پشت و بازی در باغ هستند	چهار دختر درحال انجام حرکت آکروباتیک خم‌پشت و بازی در بیرون هستند	4.1	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
101	چهار دختر در حال انجام ورزش خم پشت و بازی در فضای باز هستند	چهار دختر در حال انجام ورزش خم پشت و بازی در داخل ساختمان هستند	4	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
102	چهار دختر در حال انجام ورزش خم پشت و بازی در باغچه هستند	چهار کودک در حال انجام ورزش خم پشت در پارک هستند	3.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
103	چهار دختر در حال انجام ورزش خم پشت و بازی در داخل ساختمان هستند	چهار کودک در حال انجام ورزش خم پشت در پارک هستند	3.7	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TEST	1
104	چهار کودک در حال انجام ورزش خم پشت در پارک هستند	چهار دختر در حال انجام ورزش خم پشت و بازی در فضای باز هستند	4.3	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TEST	1
105	چهار بچه در باشگاه در حال زدن پشتک تعادلی هستند	چهار دختر درحال زدن پشتک تعادلی در باشگاه هستند	3.8	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRIAL	1
106	چهار دختر در حال انجام ورزش خم پشت و بازی در فضای باز هستند	چهار کودک در حال انجام ورزش خم پشت در پارک هستند	4.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
107	مردی که با توپ در دستانش بازی می کند درحال دویدن است	بازیکنی با توپ در حال دویدن است	4.3	ENTAILMENT	A_entails_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
108	یک بازیکن در حال پرتاب توپ است	یک بازیکن درحال دویدن با توپ است	3.5	NEUTRAL	A_contradicts_B	B_neutral_A	FLICKR	FLICKR	TEST	1
109	دو گروه از مردم فوتبال بازی می‌کنند	دو تیم در یک مسابقه فوتبال در حال رقابت هستند	4.7	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
110	دو تیم در یک مسابقه فوتبال در حال رقابت هستند	دو تیم در یک بازی بیس بال در حال رقابت هستند	3.9	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
111	دو تیم در یک مسابقه فوتبال در حال رقابت هستند	فوتبال توسط دو تیم در حال رقابت انجام می‌شود	4.8	ENTAILMENT	A_entails_B	B_entails_A	FLICKR	FLICKR	TEST	1
112	دو گروه از مردم فوتبال بازی می کنند	بازیکنی با توپ در حال دویدن است	2.1	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	0
113	دوتیم درحال رقابت در بازی بیس بال هستند	بازیکنی با توپ در حال دویدن است	3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TRAIN	1
114	یک بازیکن با توپ در حال دویدن است	فوتبال توسط دو تیم در حال رقابت انجام می‌شود	3	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	1
115	دو تیم در یک مسابقه فوتبال در حال رقابت هستند	مردی که بازی می‌کند با توپ در دستان خود در حال دویدن است	2.7	NEUTRAL	A_neutral_B	B_neutral_A	FLICKR	FLICKR	TEST	0
